Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Date
1651,60,Male,Sandals,Accessories,65,Arkansas,M,Peach,Summer,2.5,No,Standard,Yes,Yes,46,Credit Card,Quarterly,2024-05-15
1573,37,Male,Hoodie,Clothing,64,Washington,L,Purple,Spring,3.3,No,Standard,Yes,Yes,16,Debit Card,Weekly,2024-05-15
1601,20,Male,Shirt,Footwear,35,Montana,S,White,Winter,3.4,No,Next Day Air,Yes,Yes,24,PayPal,Annually,2024-05-15
3015,24,Female,Backpack,Clothing,46,Utah,M,Teal,Winter,2.8,No,Express,No,No,38,PayPal,Bi-Weekly,2024-05-15
661,50,Male,Gloves,Outerwear,32,Montana,M,Peach,Fall,2.7,Yes,Next Day Air,Yes,Yes,39,Credit Card,Annually,2024-05-15
2272,29,Male,Sunglasses,Clothing,107,Alaska,M,Black,Fall,4.2,No,Standard,No,No,49,PayPal,Monthly,2024-05-15
3866,25,Female,Blouse,Clothing,75,Nebraska,M,Magenta,Winter,2.8,No,2-Day Shipping,No,No,28,Cash,Bi-Weekly,2024-05-15
2857,65,Female,Dress,Outerwear,52,Iowa,M,Violet,Fall,2.1,No,Store Pickup,No,No,31,Credit Card,Bi-Weekly,2024-05-15
1637,58,Male,Jeans,Footwear,83,North Dakota,L,Pink,Summer,4.2,No,Standard,Yes,Yes,49,Cash,Annually,2024-05-15
73,18,Male,Jeans,Clothing,49,Georgia,M,Cyan,Summer,2.4,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Bi-Weekly,2024-05-15
235,20,Male,Handbag,Accessories,52,South Dakota,S,Pink,Winter,4.3,Yes,2-Day Shipping,Yes,Yes,24,Credit Card,Every 3 Months,2024-05-15
11,53,Male,Hat,Footwear,57,Arkansas,L,Green,Summer,2.4,Yes,Standard,Yes,Yes,26,Bank Transfer,Annually,2024-05-15
2696,50,Female,Coat,Accessories,70,Tennessee,M,Beige,Spring,2.7,No,Free Shipping,No,No,10,PayPal,Weekly,2024-05-15
1714,49,Male,Handbag,Outerwear,55,Missouri,M,Teal,Fall,2.2,No,2-Day Shipping,No,No,37,PayPal,Every 3 Months,2024-05-15
490,49,Male,Sweater,Clothing,68,South Dakota,M,Black,Fall,4.6,Yes,2-Day Shipping,Yes,Yes,40,PayPal,Weekly,2024-05-15
239,64,Male,Backpack,Clothing,22,Ohio,M,Magenta,Winter,3.6,Yes,Express,Yes,Yes,5,Cash,Annually,2024-05-15
3409,48,Female,Jacket,Clothing,75,Montana,L,Pink,Summer,4.2,No,Free Shipping,No,No,11,Bank Transfer,Bi-Weekly,2024-05-15
1775,46,Male,Hat,Clothing,67,New York,M,Pink,Winter,4.8,No,Store Pickup,No,No,6,PayPal,Bi-Weekly,2024-05-15
2122,43,Male,Hat,Accessories,48,Alaska,M,Olive,Summer,4.1,No,Express,No,No,32,Bank Transfer,Quarterly,2024-05-15
24,31,Male,Shirt,Clothing,98,Oklahoma,XL,Charcoal,Winter,2.0,Yes,Express,Yes,Yes,40,Credit Card,Bi-Weekly,2024-05-15
2813,66,Female,Sunglasses,Clothing,34,North Dakota,XL,Lavender,Summer,4.2,No,Standard,No,No,1,Credit Card,Weekly,2024-05-15
2791,34,Female,Sunglasses,Clothing,44,Maine,M,Blue,Spring,4.4,No,Express,No,No,24,Debit Card,Fortnightly,2024-05-15
3051,31,Female,Jacket,Outerwear,77,Kentucky,S,Olive,Fall,4.0,No,2-Day Shipping,No,No,28,Venmo,Weekly,2024-05-15
3743,56,Female,Backpack,Clothing,47,Maryland,M,Cyan,Spring,3.9,No,Store Pickup,No,No,50,Credit Card,Every 3 Months,2024-05-15
3241,56,Female,Sweater,Footwear,65,West Virginia,M,Gray,Spring,4.3,No,Standard,No,No,37,Bank Transfer,Weekly,2024-05-15
1932,54,Male,Skirt,Accessories,46,Illinois,S,Beige,Spring,2.7,No,Express,No,No,6,Debit Card,Monthly,2024-05-15
2052,65,Male,Scarf,Clothing,69,Massachusetts,L,Purple,Spring,2.5,No,Next Day Air,No,No,14,Credit Card,Every 3 Months,2024-05-15
654,20,Male,Sandals,Accessories,47,North Dakota,M,White,Summer,3.4,Yes,2-Day Shipping,Yes,Yes,45,Cash,Every 3 Months,2024-05-15
856,70,Male,Sunglasses,Clothing,18,Oregon,L,Black,Summer,3.2,Yes,Free Shipping,Yes,Yes,14,Credit Card,Weekly,2024-05-15
667,35,Male,Sandals,Clothing,51,Colorado,L,Indigo,Fall,4.8,Yes,Next Day Air,Yes,Yes,30,Debit Card,Annually,2024-05-15
1044,28,Male,Shirt,Clothing,38,Hawaii,M,Indigo,Spring,3.6,Yes,Standard,Yes,Yes,28,Debit Card,Annually,2024-05-15
1572,28,Male,Sweater,Accessories,38,Colorado,L,Silver,Summer,2.6,No,2-Day Shipping,Yes,Yes,11,Bank Transfer,Weekly,2024-05-15
2316,69,Male,Sneakers,Clothing,19,Vermont,M,Orange,Summer,2.3,No,Express,No,No,49,Debit Card,Fortnightly,2024-05-15
1566,58,Male,Jacket,Accessories,58,Idaho,L,Gray,Summer,4.0,No,Free Shipping,Yes,Yes,48,PayPal,Quarterly,2024-05-15
712,64,Male,Hat,Footwear,39,New Hampshire,M,Pink,Fall,4.8,Yes,Store Pickup,Yes,Yes,13,Bank Transfer,Annually,2024-05-15
1235,38,Male,Pants,Accessories,47,New Jersey,M,Blue,Spring,3.9,No,Standard,Yes,Yes,2,Bank Transfer,Monthly,2024-05-15
1295,27,Male,Jewelry,Clothing,74,Texas,M,Beige,Fall,2.4,No,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,2024-05-15
304,20,Male,Blouse,Footwear,60,Oregon,M,Silver,Winter,4.2,Yes,Express,Yes,Yes,49,Venmo,Every 3 Months,2024-05-15
3287,45,Female,Shorts,Outerwear,83,Illinois,L,Orange,Fall,3.9,No,Store Pickup,No,No,4,Venmo,Fortnightly,2024-05-15
1218,50,Male,Shirt,Footwear,24,Nebraska,XL,Orange,Fall,2.4,No,2-Day Shipping,Yes,Yes,12,Cash,Quarterly,2024-05-15
2922,20,Female,Belt,Accessories,105,Wisconsin,M,Teal,Spring,2.5,No,Express,No,No,11,Cash,Weekly,2024-05-15
2481,61,Male,Sweater,Clothing,17,Ohio,XL,Brown,Fall,3.0,No,Store Pickup,No,No,7,Credit Card,Fortnightly,2024-05-15
3125,57,Female,Jeans,Accessories,60,California,M,Black,Winter,4.5,No,Standard,No,No,4,Cash,Quarterly,2024-05-15
3310,48,Female,Jewelry,Accessories,34,Massachusetts,M,Yellow,Fall,4.1,No,Standard,No,No,19,PayPal,Annually,2024-05-15
607,27,Male,Sunglasses,Accessories,47,Colorado,M,Red,Fall,4.7,Yes,Next Day Air,Yes,Yes,44,PayPal,Quarterly,2024-05-15
2654,67,Female,Pants,Clothing,30,Wisconsin,L,Turquoise,Winter,4.0,No,Next Day Air,No,No,24,Venmo,Monthly,2024-05-15
1371,27,Male,Shoes,Accessories,63,Montana,L,Orange,Winter,4.0,No,Express,Yes,Yes,41,Bank Transfer,Bi-Weekly,2024-05-15
3481,21,Female,Backpack,Footwear,53,New Hampshire,L,Pink,Winter,4.9,No,Standard,No,No,45,PayPal,Monthly,2024-05-15
1476,44,Male,Boots,Clothing,51,Rhode Island,M,Purple,Winter,4.4,No,Next Day Air,Yes,Yes,24,Cash,Bi-Weekly,2024-05-15
3160,62,Female,Shirt,Accessories,68,Louisiana,L,Lavender,Winter,3.7,No,2-Day Shipping,No,No,4,Bank Transfer,Quarterly,2024-05-15
3661,19,Female,Socks,Footwear,54,Arkansas,L,Charcoal,Fall,2.9,No,Next Day Air,No,No,13,Bank Transfer,Weekly,2024-05-15
753,39,Male,Backpack,Accessories,68,Ohio,L,Beige,Summer,4.7,Yes,2-Day Shipping,Yes,Yes,17,PayPal,Every 3 Months,2024-05-15
3629,53,Female,Pants,Clothing,24,Georgia,L,Black,Fall,4.8,No,Express,No,No,35,Credit Card,Quarterly,2024-05-16
1542,24,Male,Sandals,Accessories,80,Illinois,S,Charcoal,Fall,4.8,No,Next Day Air,Yes,Yes,35,Cash,Every 3 Months,2024-05-16
3486,50,Female,Jeans,Clothing,70,Massachusetts,XL,Violet,Winter,3.2,No,Next Day Air,No,No,23,Debit Card,Annually,2024-05-16
1280,63,Male,Jacket,Clothing,63,Maryland,L,Purple,Fall,4.8,No,Next Day Air,Yes,Yes,18,Debit Card,Annually,2024-05-16
1522,29,Male,Skirt,Accessories,76,Washington,M,Yellow,Fall,2.1,No,Standard,Yes,Yes,50,Bank Transfer,Quarterly,2024-05-16
3720,20,Female,Jeans,Clothing,47,Pennsylvania,M,Peach,Fall,4.7,No,Free Shipping,No,No,8,Bank Transfer,Bi-Weekly,2024-05-16
1926,59,Male,Jewelry,Footwear,79,Utah,L,Gold,Winter,3.4,No,Free Shipping,No,No,44,Credit Card,Quarterly,2024-05-16
3660,27,Female,Socks,Footwear,73,Illinois,S,Gold,Summer,2.1,No,Express,No,No,46,Bank Transfer,Monthly,2024-05-16
514,22,Male,Hoodie,Accessories,50,New Mexico,M,Olive,Fall,2.6,Yes,2-Day Shipping,Yes,Yes,45,Venmo,Bi-Weekly,2024-05-16
1342,26,Male,Handbag,Clothing,41,Rhode Island,XL,Cyan,Fall,3.8,No,Next Day Air,Yes,Yes,31,Bank Transfer,Fortnightly,2024-05-16
2798,63,Female,T-shirt,Accessories,74,Oklahoma,M,Beige,Summer,3.1,No,Free Shipping,No,No,10,Venmo,Every 3 Months,2024-05-16
495,38,Male,Boots,Footwear,68,Indiana,M,Indigo,Summer,2.2,Yes,2-Day Shipping,Yes,Yes,42,Debit Card,Bi-Weekly,2024-05-16
1467,58,Male,Hoodie,Clothing,56,Alabama,M,Blue,Summer,2.6,No,Next Day Air,Yes,Yes,3,PayPal,Annually,2024-05-16
3525,69,Female,T-shirt,Clothing,75,Michigan,L,Blue,Fall,4.9,No,Standard,No,No,30,Credit Card,Weekly,2024-05-16
3048,21,Female,Coat,Footwear,105,Vermont,M,Lavender,Fall,3.6,No,Free Shipping,No,No,3,PayPal,Every 3 Months,2024-05-16
