Customer_ID,Age,Gender,Item_Purchased,Category,Season,Review_Rating
1,55,Male,Blouse,Clothing,Winter,3
1,55,Male,Skirt,Clothing,Summer,2
1,55,Male,Pants,Clothing,Fall,4
1,55,Male,Boots,Accessories,Summer,3
1,55,Male,Scarf,Accessories,Spring,4
1,55,Male,Sunglasses,Accessories,Winter,3
1,55,Male,Hoodie,Clothing,Fall,3
1,55,Male,Handbag,Accessories,Winter,3
1,55,Male,Boots,Accessories,Fall,3
1,55,Male,Shirt,Outerwear,Winter,3
1,55,Male,Sneakers,Footwear,Spring,3
1,55,Male,Sweater,Clothing,Winter,3
1,55,Male,Handbag,Accessories,Winter,3
1,55,Male,Gloves,Outerwear,Summer,3
1,55,Male,Coat,Outerwear,Fall,4
2,19,Female,Sweater,Clothing,Winter,3
2,19,Female,Backpack,Accessories,Winter,3
2,19,Female,Backpack,Accessories,Fall,4
3,50,Male,Jeans,Clothing,Spring,3
3,50,Male,Jeans,Clothing,Spring,3
3,50,Male,Dress,Clothing,Spring,4
3,50,Male,Sandals,Outerwear,Fall,4
3,50,Male,Skirt,Clothing,Spring,4
3,50,Male,Handbag,Accessories,Fall,3
3,50,Male,Sunglasses,Accessories,Summer,3
3,50,Male,Jacket,Clothing,Winter,3
3,50,Male,Jeans,Clothing,Fall,3
3,50,Male,Skirt,Clothing,Summer,2
3,50,Male,Dress,Clothing,Summer,3
3,50,Male,Shirt,Outerwear,Winter,3
3,50,Male,Hat,Accessories,Spring,3
3,50,Male,Jeans,Clothing,Spring,3
3,50,Male,Backpack,Accessories,Summer,3
3,50,Male,Sunglasses,Accessories,Summer,2
3,50,Male,Hat,Accessories,Spring,4
3,50,Male,Dress,Clothing,Summer,3
3,50,Male,Gloves,Outerwear,Winter,3
3,50,Male,Blouse,Clothing,Spring,3
3,50,Male,Sweater,Clothing,Fall,4
3,50,Male,Jeans,Clothing,Fall,4
3,50,Male,Sneakers,Footwear,Winter,3
3,50,Male,Scarf,Accessories,Spring,3
4,21,Male,Sandals,Outerwear,Fall,4
4,21,Male,Jeans,Clothing,Spring,4
4,21,Male,Sandals,Outerwear,Winter,5
4,21,Male,Sweater,Clothing,Summer,3
4,21,Male,Socks,Clothing,Fall,3
4,21,Male,Sandals,Outerwear,Spring,4
4,21,Male,Backpack,Accessories,Spring,3
4,21,Male,Skirt,Clothing,Summer,4
4,21,Male,Jewelry,Accessories,Summer,3
4,21,Male,Boots,Accessories,Summer,4
4,21,Male,Shirt,Outerwear,Summer,3
