Customer_ID,Số SP Mua Thực Tế,Số SP Được Gợi Ý,Số SP Đúng,Precision,SP Đã Mua,SP Được Gợi Ý,SP Đúng
3,15,15,9,0.6,"Jeans, Dress, Sandals, Skirt, Handbag, Sunglasses, Jacket, Shirt, Hat, Backpack, Gloves, Blouse, Sweater, Sneakers, Scarf","Backpack, Gloves, Coat, Skirt, Jewelry, Shorts, Handbag, Scarf, Sunglasses, Sweater, Belt, Shoes, Pants, Sneakers, Jeans","Jeans, Scarf, Skirt, Handbag, Gloves, Backpack, Sunglasses, Sweater, Sneakers"
10,5,5,0,0.0,"Sandals, Hat, Handbag, Jeans, Hoodie","Backpack, Gloves, Skirt, Coat, Jewelry",
12,11,11,6,0.5454545454545454,"Shorts, Sunglasses, Backpack, Dress, Belt, Jewelry, Boots, Socks, Shoes, T-shirt, Scarf","Gloves, Skirt, Dress, Sweater, Hoodie, Belt, Sneakers, Shoes, T-shirt, Backpack, Jewelry","Shoes, Belt, T-shirt, Dress, Jewelry, Backpack"
23,18,18,12,0.6666666666666666,"Pants, Jeans, Skirt, Blouse, Jacket, Coat, Gloves, Sweater, Sandals, Boots, Shoes, Sneakers, Jewelry, Dress, Handbag, T-shirt, Socks, Hoodie","Backpack, Gloves, Skirt, Coat, Jewelry, Shorts, Handbag, Scarf, Sunglasses, Sweater, Belt, Shoes, Sneakers, Pants, Jeans, Hat, Dress, Jacket","Shoes, Coat, Pants, Jacket, Jeans, Skirt, Handbag, Gloves, Dress, Sweater, Jewelry, Sneakers"
34,20,20,16,0.8,"Blouse, Sandals, Skirt, T-shirt, Sweater, Jeans, Coat, Shorts, Socks, Backpack, Hoodie, Dress, Sunglasses, Gloves, Hat, Pants, Belt, Handbag, Boots, Scarf","Backpack, Handbag, Jewelry, Scarf, Gloves, Shoes, Skirt, Sneakers, Belt, Sweater, Coat, Hat, Shorts, Sunglasses, Jeans, Boots, Dress, Pants, Hoodie, Shirt","Boots, Coat, Belt, Pants, Shorts, Jeans, Hat, Skirt, Scarf, Handbag, Gloves, Dress, Sweater, Hoodie, Backpack, Sunglasses"
40,16,16,9,0.5625,"Pants, Scarf, Hat, Backpack, Jeans, Hoodie, Boots, Jacket, Sweater, Shoes, Skirt, Dress, Sunglasses, Socks, Handbag, Sneakers","Gloves, Dress, Hoodie, Jewelry, Skirt, Sunglasses, Blouse, Jacket, Scarf, Pants, Coat, T-shirt, Shorts, Sandals, Backpack, Sweater","Pants, Jacket, Skirt, Scarf, Dress, Sweater, Hoodie, Backpack, Sunglasses"
56,22,22,19,0.8636363636363636,"Dress, Scarf, Sneakers, Jewelry, Coat, T-shirt, Sweater, Boots, Pants, Handbag, Gloves, Socks, Jeans, Sunglasses, Shorts, Hat, Jacket, Shirt, Blouse, Belt, Shoes, Backpack","Sneakers, Belt, Coat, Shorts, Gloves, Shoes, Sandals, Sweater, Dress, Skirt, Blouse, Hoodie, Jacket, Jeans, Pants, Backpack, Sunglasses, Jewelry, Shirt, Handbag, Hat, Scarf","Pants, Jeans, Hat, Handbag, Gloves, Shoes, Coat, Jacket, Shirt, Dress, Sweater, Belt, Scarf, Backpack, Jewelry, Sneakers, Sunglasses, Shorts, Blouse"
64,22,22,19,0.8636363636363636,"Handbag, T-shirt, Socks, Hoodie, Pants, Jewelry, Jacket, Jeans, Shoes, Boots, Sandals, Sunglasses, Belt, Sneakers, Coat, Hat, Shirt, Blouse, Sweater, Backpack, Skirt, Shorts","Gloves, Skirt, Dress, Sweater, Hoodie, Belt, Sneakers, Shoes, T-shirt, Backpack, Jewelry, Scarf, Shirt, Coat, Shorts, Handbag, Jeans, Blouse, Sandals, Jacket, Pants, Boots","Pants, Jeans, Handbag, Shoes, Coat, Sandals, Jacket, Shirt, Sweater, Belt, Skirt, Backpack, Jewelry, Sneakers, Boots, Shorts, T-shirt, Blouse, Hoodie"
70,5,5,1,0.2,"T-shirt, Pants, Jewelry, Belt, Socks","Backpack, Handbag, Jewelry, Scarf, Gloves",Jewelry
78,20,20,17,0.85,"Shirt, Jeans, Belt, Scarf, Socks, Pants, Sunglasses, Coat, Backpack, Shorts, T-shirt, Dress, Sneakers, Sandals, Shoes, Hoodie, Jewelry, Gloves, Hat, Jacket","Gloves, Skirt, Coat, Sweater, Belt, Shorts, Dress, Jacket, Backpack, Sandals, Hoodie, Blouse, Pants, Jeans, T-shirt, Jewelry, Shirt, Sunglasses, Scarf, Sneakers","Coat, Belt, Pants, Sandals, Jacket, Shorts, Jeans, Shirt, Scarf, T-shirt, Gloves, Dress, Sunglasses, Hoodie, Jewelry, Backpack, Sneakers"
83,16,16,9,0.5625,"Dress, Jeans, Hoodie, Sunglasses, Pants, Shirt, Socks, Handbag, Belt, Hat, T-shirt, Skirt, Sweater, Shoes, Backpack, Boots","Gloves, Skirt, Coat, Sweater, Belt, Shorts, Dress, Jacket, Backpack, Hoodie, Sandals, Blouse, Pants, Jeans, T-shirt, Jewelry","Belt, Pants, Jeans, Skirt, T-shirt, Dress, Sweater, Hoodie, Backpack"
85,19,19,14,0.7368421052631579,"T-shirt, Skirt, Jewelry, Boots, Socks, Sneakers, Coat, Sweater, Scarf, Handbag, Pants, Shirt, Blouse, Dress, Hoodie, Hat, Backpack, Jeans, Jacket","Backpack, Handbag, Jewelry, Scarf, Gloves, Shoes, Skirt, Sneakers, Belt, Sweater, Hat, Coat, Shorts, Sunglasses, Jeans, Boots, Dress, Pants, Hoodie","Boots, Coat, Pants, Jeans, Hat, Skirt, Scarf, Handbag, Dress, Sweater, Hoodie, Jewelry, Backpack, Sneakers"
87,21,21,18,0.8571428571428571,"Socks, Hoodie, Coat, Blouse, Handbag, Pants, Sweater, Hat, Jeans, Shorts, Shoes, Gloves, Belt, Jacket, Backpack, Dress, Sneakers, Skirt, T-shirt, Jewelry, Sandals","Gloves, Skirt, Coat, Sweater, Belt, Shorts, Dress, Jacket, Backpack, Sandals, Blouse, Pants, Hoodie, Jeans, T-shirt, Jewelry, Shirt, Sunglasses, Scarf, Sneakers, Shoes","Shoes, Coat, Belt, Pants, Sandals, Jacket, Shorts, Jeans, Skirt, T-shirt, Gloves, Dress, Sweater, Blouse, Hoodie, Jewelry, Backpack, Sneakers"
91,18,18,13,0.7222222222222222,"Hat, Belt, Handbag, Blouse, Coat, Jeans, Shorts, Gloves, Sunglasses, Sandals, Backpack, Socks, Shirt, Sweater, Jacket, Skirt, Shoes, Scarf","Gloves, Skirt, Coat, Sweater, Belt, Shorts, Dress, Jacket, Backpack, Hoodie, Sandals, Blouse, Pants, Jeans, T-shirt, Jewelry, Shirt, Scarf","Coat, Belt, Sandals, Jacket, Shorts, Jeans, Shirt, Skirt, Scarf, Gloves, Blouse, Sweater, Backpack"
102,22,22,19,0.8636363636363636,"Coat, Scarf, Dress, Hoodie, Handbag, Jewelry, Hat, Shorts, Sweater, Belt, Shirt, T-shirt, Sneakers, Skirt, Blouse, Jeans, Jacket, Socks, Backpack, Pants, Boots, Gloves","Gloves, Skirt, Dress, Hoodie, Sweater, T-shirt, Belt, Coat, Shorts, Jacket, Blouse, Sandals, Shirt, Pants, Sneakers, Jewelry, Jeans, Scarf, Backpack, Shoes, Sunglasses, Socks","Pants, Jeans, Gloves, Coat, Jacket, Shirt, Dress, Sweater, Belt, Scarf, Skirt, Backpack, Jewelry, Sneakers, Shorts, T-shirt, Blouse, Socks, Hoodie"
105,2,2,0,0.0,"Sunglasses, Sneakers","Backpack, Gloves",
125,23,23,21,0.9130434782608695,"Blouse, Sunglasses, Sweater, Dress, Sneakers, Shoes, Jeans, Shirt, Handbag, Hat, Scarf, Belt, Socks, Boots, Jewelry, Shorts, Coat, Sandals, Skirt, Jacket, Gloves, T-shirt, Backpack","Sneakers, Shoes, Belt, Gloves, Shorts, Sweater, Coat, Backpack, Handbag, Skirt, Sandals, Jewelry, Dress, Jeans, Hoodie, Scarf, Shirt, Hat, Blouse, Pants, Sunglasses, Jacket, Boots","Jeans, Hat, Handbag, Gloves, Shoes, Coat, Sandals, Jacket, Shirt, Dress, Sweater, Belt, Scarf, Skirt, Backpack, Jewelry, Sunglasses, Sneakers, Boots, Shorts, Blouse"
